Geneid	Chr	Start	End	Strand	Length	0
CDR20291_RS04925	NC_013316.1	1061632	1063245	+	1614	0
CDR20291_RS04930	NC_013316.1	1063935	1064765	-	831	0
CDR20291_RS04935	NC_013316.1	1064838	1066565	+	1728	0
CDR20291_RS04940	NC_013316.1	1066602	1068464	+	1863	0
CDR20291_RS04945	NC_013316.1	1068797	1069486	+	690	0
CDR20291_RS04950	NC_013316.1	1069603	1070277	+	675	0
CDR20291_RS04955	NC_013316.1	1070294	1072201	+	1908	0
CDR20291_RS04960	NC_013316.1	1072654	1073343	+	690	0
CDR20291_RS04965	NC_013316.1	1073779	1074318	+	540	0
CDR20291_RS04970	NC_013316.1	1074337	1075380	+	1044	0
CDR20291_RS04975	NC_013316.1	1075382	1076218	+	837	0
CDR20291_RS04980	NC_013316.1	1076323	1076997	+	675	0
CDR20291_RS04985	NC_013316.1	1076997	1078049	+	1053	0
CDR20291_RS04990	NC_013316.1	1078493	1079341	+	849	0
CDR20291_RS04995	NC_013316.1	1079331	1080995	+	1665	0
CDR20291_RS05000	NC_013316.1	1081044	1082300	+	1257	0
CDR20291_RS05005	NC_013316.1	1082323	1084404	+	2082	0
CDR20291_RS05010	NC_013316.1	1084441	1085526	+	1086	0
CDR20291_RS05015	NC_013316.1	1085580	1086704	+	1125	0
CDR20291_RS05020	NC_013316.1	1086782	1087756	+	975	0
CDR20291_RS05025	NC_013316.1	1087998	1089500	+	1503	0
CDR20291_RS05030	NC_013316.1	1089825	1092722	+	2898	0
CDR20291_RS05035	NC_013316.1	1092815	1092888	+	74	0
CDR20291_RS05040	NC_013316.1	1092897	1093013	+	117	0
CDR20291_RS05045	NC_013316.1	1093287	1095305	+	2019	0
CDR20291_RS05050	NC_013316.1	1095818	1097830	+	2013	0
CDR20291_RS05055	NC_013316.1	1098058	1099971	+	1914	0
CDR20291_RS05060	NC_013316.1	1099964	1102183	+	2220	0
CDR20291_RS05065	NC_013316.1	1102292	1103122	+	831	0
CDR20291_RS05070	NC_013316.1	1103112	1106579	+	3468	0
CDR20291_RS05075	NC_013316.1	1106579	1110406	+	3828	0
CDR20291_RS05080	NC_013316.1	1110452	1111663	+	1212	0
CDR20291_RS05085	NC_013316.1	1111650	1115177	+	3528	0
CDR20291_RS05090	NC_013316.1	1115308	1116561	+	1254	2
CDR20291_RS05095	NC_013316.1	1116710	1117468	+	759	0
CDR20291_RS19270	NC_013316.1	1117468	1117761	+	294	0
CDR20291_RS05100	NC_013316.1	1117852	1119078	+	1227	0
CDR20291_RS05105	NC_013316.1	1119285	1120337	+	1053	0
CDR20291_RS05110	NC_013316.1	1120755	1121324	-	570	0
CDR20291_RS05115	NC_013316.1	1121349	1122149	-	801	0
CDR20291_RS05120	NC_013316.1	1122284	1123156	+	873	0
CDR20291_RS05125	NC_013316.1	1123144	1123830	+	687	0
CDR20291_RS05130	NC_013316.1	1123882	1124424	+	543	0
CDR20291_RS05135	NC_013316.1	1124503	1124970	+	468	0
CDR20291_RS05140	NC_013316.1	1125678	1126814	+	1137	0
CDR20291_RS05145	NC_013316.1	1126873	1127655	+	783	0
CDR20291_RS05150	NC_013316.1	1127674	1128684	+	1011	0
CDR20291_RS05155	NC_013316.1	1128703	1129500	+	798	0
CDR20291_RS05160	NC_013316.1	1129598	1130443	+	846	0
CDR20291_RS05165	NC_013316.1	1130530	1131705	+	1176	0
CDR20291_RS05170	NC_013316.1	1131900	1132802	+	903	0
CDR20291_RS05175	NC_013316.1	1132816	1133820	+	1005	0
CDR20291_RS05180	NC_013316.1	1133964	1134191	-	228	0
CDR20291_RS05185	NC_013316.1	1134363	1134788	+	426	0
CDR20291_RS05190	NC_013316.1	1134836	1135042	+	207	0
CDR20291_RS05195	NC_013316.1	1135224	1135403	+	180	0
CDR20291_RS05200	NC_013316.1	1135437	1135637	+	201	0
CDR20291_RS05205	NC_013316.1	1135884	1136906	+	1023	0
CDR20291_RS05210	NC_013316.1	1137029	1137427	-	399	0
CDR20291_RS05215	NC_013316.1	1137639	1138544	+	906	0
CDR20291_RS05220	NC_013316.1	1138659	1138839	+	181	0
CDR20291_RS05225	NC_013316.1	1139022	1140239	+	1218	0
CDR20291_RS05230	NC_013316.1	1140340	1141662	-	1323	0
CDR20291_RS05235	NC_013316.1	1141713	1142507	-	795	0
CDR20291_RS05240	NC_013316.1	1142617	1144062	+	1446	0
CDR20291_RS05245	NC_013316.1	1144091	1144300	+	210	0
CDR20291_RS05250	NC_013316.1	1144320	1145714	+	1395	0
CDR20291_RS05255	NC_013316.1	1145954	1146706	+	753	0
CDR20291_RS05260	NC_013316.1	1146732	1147145	+	414	0
CDR20291_RS05265	NC_013316.1	1147149	1147892	+	744	0
CDR20291_RS05270	NC_013316.1	1147892	1148362	+	471	0
CDR20291_RS05275	NC_013316.1	1148379	1149137	+	759	0
CDR20291_RS05280	NC_013316.1	1149121	1149963	+	843	0
CDR20291_RS05285	NC_013316.1	1150123	1151028	-	906	0
CDR20291_RS05290	NC_013316.1	1151390	1152124	+	735	0
CDR20291_RS05295	NC_013316.1	1152335	1153516	+	1182	0
CDR20291_RS05300	NC_013316.1	1153539	1154072	+	534	0
CDR20291_RS05305	NC_013316.1	1154191	1154466	+	276	0
CDR20291_RS05310	NC_013316.1	1154722	1156422	+	1701	0
CDR20291_RS05315	NC_013316.1	1156785	1157972	+	1188	0
CDR20291_RS05320	NC_013316.1	1158032	1159195	+	1164	0
CDR20291_RS05325	NC_013316.1	1159346	1160149	+	804	0
CDR20291_RS05330	NC_013316.1	1160254	1160805	+	552	0
CDR20291_RS05335	NC_013316.1	1161056	1161769	+	714	0
CDR20291_RS05340	NC_013316.1	1161763	1163142	+	1380	0
CDR20291_RS05345	NC_013316.1	1163383	1164072	+	690	0
CDR20291_RS05350	NC_013316.1	1164291	1166663	+	2373	0
CDR20291_RS05355	NC_013316.1	1166678	1167580	+	903	0
CDR20291_RS05360	NC_013316.1	1167600	1168151	+	552	0
CDR20291_RS05365	NC_013316.1	1168315	1169187	+	873	0
CDR20291_RS05370	NC_013316.1	1169351	1170331	+	981	0
CDR20291_RS05375	NC_013316.1	1170832	1171053	+	222	0
CDR20291_RS05380	NC_013316.1	1171559	1172428	+	870	0
CDR20291_RS05385	NC_013316.1	1172654	1173520	+	867	0
CDR20291_RS05390	NC_013316.1	1173694	1173855	+	162	0
CDR20291_RS05400	NC_013316.1	1174593	1175711	+	1119	0
CDR20291_RS05405	NC_013316.1	1175870	1176313	+	444	0
CDR20291_RS05410	NC_013316.1	1176763	1177833	-	1071	0
CDR20291_RS05415	NC_013316.1	1177947	1179149	-	1203	0
CDR20291_RS05420	NC_013316.1	1179165	1180574	-	1410	0
CDR20291_RS05425	NC_013316.1	1181949	1182031	-	83	4
CDR20291_RS05430	NC_013316.1	1182350	1184998	+	2649	0
CDR20291_RS05435	NC_013316.1	1185007	1185609	+	603	0
CDR20291_RS05440	NC_013316.1	1185602	1186156	+	555	0
CDR20291_RS05445	NC_013316.1	1186156	1187871	+	1716	0
CDR20291_RS05450	NC_013316.1	1187944	1188156	+	213	0
CDR20291_RS05455	NC_013316.1	1188357	1188956	+	600	0
CDR20291_RS05460	NC_013316.1	1189184	1189555	+	372	0
CDR20291_RS05465	NC_013316.1	1189687	1190961	+	1275	0
CDR20291_RS05470	NC_013316.1	1191072	1192016	+	945	0
CDR20291_RS05475	NC_013316.1	1192232	1193569	+	1338	0
CDR20291_RS05480	NC_013316.1	1193592	1194569	+	978	0
CDR20291_RS05485	NC_013316.1	1194569	1195138	+	570	0
CDR20291_RS05490	NC_013316.1	1195151	1195744	+	594	0
CDR20291_RS05495	NC_013316.1	1195759	1196334	+	576	0
CDR20291_RS05500	NC_013316.1	1196350	1197321	+	972	0
CDR20291_RS05505	NC_013316.1	1197541	1198125	+	585	0
CDR20291_RS05510	NC_013316.1	1198170	1198829	+	660	0
CDR20291_RS05515	NC_013316.1	1198899	1199960	+	1062	2
CDR20291_RS05520	NC_013316.1	1199970	1200863	+	894	0
CDR20291_RS05525	NC_013316.1	1200878	1201366	+	489	0
CDR20291_RS05530	NC_013316.1	1201378	1204356	+	2979	0
CDR20291_RS05535	NC_013316.1	1204454	1205137	+	684	0
CDR20291_RS05540	NC_013316.1	1205161	1205958	+	798	0
CDR20291_RS05545	NC_013316.1	1205976	1206260	+	285	0
CDR20291_RS05550	NC_013316.1	1206345	1207475	+	1131	0
CDR20291_RS05555	NC_013316.1	1207516	1207929	+	414	0
CDR20291_RS05560	NC_013316.1	1208414	1208743	+	330	0
CDR20291_RS05565	NC_013316.1	1208747	1209538	+	792	0
CDR20291_RS05570	NC_013316.1	1210102	1211184	+	1083	0
CDR20291_RS05575	NC_013316.1	1211396	1212589	-	1194	4
CDR20291_RS05580	NC_013316.1	1212908	1214752	+	1845	0
CDR20291_RS05585	NC_013316.1	1214754	1215455	+	702	0
CDR20291_RS05590	NC_013316.1	1215473	1216894	+	1422	0
CDR20291_RS05595	NC_013316.1	1216995	1217306	+	312	0
CDR20291_RS05600	NC_013316.1	1217321	1217638	+	318	0
CDR20291_RS05605	NC_013316.1	1217652	1217942	+	291	0
CDR20291_RS05610	NC_013316.1	1218053	1219330	+	1278	0
CDR20291_RS05615	NC_013316.1	1219382	1219750	+	369	0
CDR20291_RS05620	NC_013316.1	1220051	1221256	+	1206	0
CDR20291_RS05625	NC_013316.1	1221457	1222023	-	567	0
CDR20291_RS05630	NC_013316.1	1222291	1223550	-	1260	0
CDR20291_RS05635	NC_013316.1	1223675	1224388	+	714	0
CDR20291_RS05640	NC_013316.1	1224506	1225780	+	1275	0
CDR20291_RS05645	NC_013316.1	1225797	1226585	+	789	0
CDR20291_RS05650	NC_013316.1	1226599	1227819	+	1221	0
CDR20291_RS05655	NC_013316.1	1227830	1229221	+	1392	0
CDR20291_RS05660	NC_013316.1	1229484	1230764	-	1281	0
CDR20291_RS05665	NC_013316.1	1231227	1232423	+	1197	0
CDR20291_RS05670	NC_013316.1	1232516	1233040	+	525	2
CDR20291_RS05675	NC_013316.1	1233065	1233241	+	177	0
CDR20291_RS05680	NC_013316.1	1233448	1234005	+	558	1
CDR20291_RS05685	NC_013316.1	1234016	1235038	+	1023	1
CDR20291_RS05690	NC_013316.1	1235064	1236050	+	987	2
CDR20291_RS05695	NC_013316.1	1236159	1237088	+	930	0
CDR20291_RS05700	NC_013316.1	1237104	1238054	+	951	0
CDR20291_RS05705	NC_013316.1	1238054	1238803	+	750	2
CDR20291_RS05710	NC_013316.1	1238857	1239081	+	225	0
CDR20291_RS05715	NC_013316.1	1239110	1240348	+	1239	0
CDR20291_RS05720	NC_013316.1	1240574	1242292	+	1719	0
CDR20291_RS05725	NC_013316.1	1242323	1244323	+	2001	0
CDR20291_RS05730	NC_013316.1	1244671	1244916	+	246	0
CDR20291_RS05735	NC_013316.1	1244951	1245676	+	726	0
CDR20291_RS05740	NC_013316.1	1245698	1247011	+	1314	0
CDR20291_RS05745	NC_013316.1	1247310	1247756	+	447	0
CDR20291_RS05750	NC_013316.1	1247845	1249830	+	1986	0
CDR20291_RS05755	NC_013316.1	1250054	1251022	+	969	0
CDR20291_RS05760	NC_013316.1	1251012	1251533	+	522	0
CDR20291_RS05765	NC_013316.1	1251550	1251747	+	198	0
CDR20291_RS05770	NC_013316.1	1251772	1252149	+	378	0
CDR20291_RS05775	NC_013316.1	1252234	1253439	+	1206	0
CDR20291_RS05780	NC_013316.1	1253499	1254116	+	618	0
CDR20291_RS05785	NC_013316.1	1254128	1254682	+	555	0
CDR20291_RS05790	NC_013316.1	1254709	1255398	+	690	0
CDR20291_RS05795	NC_013316.1	1255508	1255870	+	363	0
CDR20291_RS05800	NC_013316.1	1255955	1256461	+	507	0
CDR20291_RS05805	NC_013316.1	1256445	1257515	+	1071	0
CDR20291_RS05810	NC_013316.1	1257512	1258717	+	1206	0
CDR20291_RS05815	NC_013316.1	1258719	1258934	+	216	0
CDR20291_RS05820	NC_013316.1	1258937	1259824	+	888	0
CDR20291_RS05825	NC_013316.1	1259854	1260291	+	438	0
CDR20291_RS05830	NC_013316.1	1260325	1262190	+	1866	2
CDR20291_RS05835	NC_013316.1	1262323	1263135	+	813	0
CDR20291_RS05840	NC_013316.1	1263155	1264834	+	1680	0
CDR20291_RS05845	NC_013316.1	1265049	1265915	+	867	0
CDR20291_RS05850	NC_013316.1	1266006	1266497	-	492	0
CDR20291_RS05855	NC_013316.1	1266558	1266998	-	441	0
CDR20291_RS05860	NC_013316.1	1267159	1268217	+	1059	0
CDR20291_RS05865	NC_013316.1	1268359	1269183	+	825	0
CDR20291_RS05870	NC_013316.1	1269596	1270717	+	1122	0
CDR20291_RS05875	NC_013316.1	1270735	1271610	+	876	0
CDR20291_RS05880	NC_013316.1	1271634	1272326	+	693	0
CDR20291_RS05885	NC_013316.1	1272334	1273158	+	825	0
CDR20291_RS05890	NC_013316.1	1273163	1274230	+	1068	0
CDR20291_RS05895	NC_013316.1	1274232	1274768	+	537	0
CDR20291_RS05900	NC_013316.1	1274836	1275441	+	606	0
CDR20291_RS05905	NC_013316.1	1275453	1276367	+	915	0
CDR20291_RS05910	NC_013316.1	1276409	1277581	+	1173	0
CDR20291_RS05915	NC_013316.1	1277628	1278440	+	813	0
CDR20291_RS05920	NC_013316.1	1278644	1279969	+	1326	0
CDR20291_RS05925	NC_013316.1	1280182	1281261	+	1080	0
CDR20291_RS05930	NC_013316.1	1281433	1282107	+	675	0
CDR20291_RS05935	NC_013316.1	1282094	1283341	+	1248	0
CDR20291_RS05940	NC_013316.1	1283413	1285077	+	1665	0
CDR20291_RS05945	NC_013316.1	1285174	1285458	-	285	0
CDR20291_RS05950	NC_013316.1	1285481	1286998	-	1518	0
CDR20291_RS05955	NC_013316.1	1287123	1287944	-	822	0
CDR20291_RS05960	NC_013316.1	1288135	1289562	+	1428	0
CDR20291_RS05965	NC_013316.1	1289872	1290543	+	672	0
CDR20291_RS05970	NC_013316.1	1290537	1291436	+	900	0
CDR20291_RS05975	NC_013316.1	1294518	1294673	+	156	0
CDR20291_RS05980	NC_013316.1	1294952	1295170	+	219	0
CDR20291_RS05985	NC_013316.1	1296379	1296762	-	384	0
CDR20291_RS05990	NC_013316.1	1296889	1297233	+	345	0
CDR20291_RS05995	NC_013316.1	1297416	1297631	+	216	0
CDR20291_RS06000	NC_013316.1	1298617	1298934	-	318	0
CDR20291_RS06005	NC_013316.1	1299226	1299795	-	570	0
CDR20291_RS06015	NC_013316.1	1300949	1301458	+	510	0
CDR20291_RS06020	NC_013316.1	1301560	1301754	-	195	0
CDR20291_RS06025	NC_013316.1	1302269	1302661	-	393	0
CDR20291_RS06030	NC_013316.1	1303229	1303591	+	363	0
CDR20291_RS06035	NC_013316.1	1303575	1304291	+	717	0
CDR20291_RS06040	NC_013316.1	1304311	1304730	+	420	0
CDR20291_RS06045	NC_013316.1	1304720	1305244	+	525	0
CDR20291_RS06050	NC_013316.1	1305556	1306113	+	558	0
CDR20291_RS06055	NC_013316.1	1306205	1306660	+	456	0
CDR20291_RS06060	NC_013316.1	1306823	1307533	+	711	0
CDR20291_RS06065	NC_013316.1	1307587	1308657	+	1071	0
CDR20291_RS06070	NC_013316.1	1308685	1312239	+	3555	0
CDR20291_RS06075	NC_013316.1	1312266	1313546	+	1281	0
CDR20291_RS06080	NC_013316.1	1313649	1314017	+	369	0
CDR20291_RS06085	NC_013316.1	1314014	1315366	+	1353	0
CDR20291_RS06090	NC_013316.1	1315404	1315676	+	273	0
CDR20291_RS06095	NC_013316.1	1315741	1315968	+	228	0
CDR20291_RS06100	NC_013316.1	1316076	1316591	+	516	0
CDR20291_RS06105	NC_013316.1	1316600	1317295	+	696	0
CDR20291_RS06110	NC_013316.1	1317480	1317830	+	351	0
CDR20291_RS06115	NC_013316.1	1318151	1319047	+	897	0
CDR20291_RS06120	NC_013316.1	1319436	1320728	+	1293	0
CDR20291_RS06125	NC_013316.1	1321846	1323138	+	1293	0
CDR20291_RS06130	NC_013316.1	1323703	1325892	+	2190	0
CDR20291_RS06135	NC_013316.1	1325960	1326727	+	768	0
CDR20291_RS06140	NC_013316.1	1326785	1327801	+	1017	0
CDR20291_RS06145	NC_013316.1	1327867	1328115	+	249	0
CDR20291_RS06150	NC_013316.1	1328292	1328789	-	498	0
CDR20291_RS06155	NC_013316.1	1329030	1330094	-	1065	0
CDR20291_RS06160	NC_013316.1	1330097	1331194	-	1098	0
CDR20291_RS06165	NC_013316.1	1331208	1332143	-	936	0
CDR20291_RS06170	NC_013316.1	1332331	1332975	-	645	0
CDR20291_RS06175	NC_013316.1	1332968	1334128	-	1161	0
CDR20291_RS06180	NC_013316.1	1334313	1334657	+	345	0
CDR20291_RS06185	NC_013316.1	1334688	1336289	+	1602	0
CDR20291_RS06190	NC_013316.1	1336308	1337408	+	1101	0
CDR20291_RS06195	NC_013316.1	1337441	1339528	+	2088	0
CDR20291_RS06200	NC_013316.1	1339693	1340478	+	786	0
CDR20291_RS06205	NC_013316.1	1340585	1341850	+	1266	0
CDR20291_RS06210	NC_013316.1	1341881	1342651	+	771	0
CDR20291_RS06215	NC_013316.1	1342760	1343206	+	447	0
CDR20291_RS06220	NC_013316.1	1343224	1344417	+	1194	4
CDR20291_RS06225	NC_013316.1	1344471	1344911	+	441	0
CDR20291_RS06230	NC_013316.1	1345200	1346279	+	1080	0
CDR20291_RS06235	NC_013316.1	1346728	1349367	+	2640	0
CDR20291_RS06240	NC_013316.1	1349392	1349649	+	258	0
CDR20291_RS06245	NC_013316.1	1349659	1351830	+	2172	0
CDR20291_RS06250	NC_013316.1	1352036	1352461	+	426	0
CDR20291_RS06255	NC_013316.1	1352539	1352826	+	288	0
CDR20291_RS06260	NC_013316.1	1353108	1353566	+	459	0
CDR20291_RS06265	NC_013316.1	1353683	1354420	-	738	0
CDR20291_RS06270	NC_013316.1	1354637	1356313	+	1677	0
CDR20291_RS06275	NC_013316.1	1356519	1356719	+	201	0
CDR20291_RS06280	NC_013316.1	1356773	1357936	+	1164	0
CDR20291_RS06285	NC_013316.1	1358147	1358569	-	423	0
CDR20291_RS06290	NC_013316.1	1358590	1359426	-	837	0
CDR20291_RS06295	NC_013316.1	1359724	1360320	+	597	0
CDR20291_RS06300	NC_013316.1	1360350	1361069	+	720	0
CDR20291_RS06305	NC_013316.1	1361071	1361610	+	540	0
CDR20291_RS06310	NC_013316.1	1361772	1362401	+	630	0
CDR20291_RS06315	NC_013316.1	1362385	1362783	+	399	0
CDR20291_RS06320	NC_013316.1	1363031	1363471	+	441	0
CDR20291_RS06325	NC_013316.1	1363487	1364938	+	1452	0
CDR20291_RS06330	NC_013316.1	1365029	1365697	-	669	0
CDR20291_RS06335	NC_013316.1	1365966	1366106	+	141	0
CDR20291_RS06340	NC_013316.1	1366281	1366601	-	321	0
CDR20291_RS06345	NC_013316.1	1366721	1367458	-	738	0
CDR20291_RS06350	NC_013316.1	1367673	1369496	+	1824	0
CDR20291_RS06355	NC_013316.1	1369711	1374009	+	4299	0
CDR20291_RS06360	NC_013316.1	1374213	1374674	+	462	0
CDR20291_RS06365	NC_013316.1	1374704	1375858	+	1155	0
CDR20291_RS06370	NC_013316.1	1375865	1376146	+	282	0
CDR20291_RS06375	NC_013316.1	1376136	1376447	+	312	0
CDR20291_RS06380	NC_013316.1	1376469	1378409	+	1941	0
CDR20291_RS06385	NC_013316.1	1378452	1378832	+	381	0
CDR20291_RS06390	NC_013316.1	1378813	1379796	+	984	0
CDR20291_RS06395	NC_013316.1	1379809	1380714	+	906	0
CDR20291_RS06400	NC_013316.1	1380845	1381774	+	930	0
CDR20291_RS06405	NC_013316.1	1381878	1382135	+	258	0
CDR20291_RS06410	NC_013316.1	1382375	1383220	+	846	0
CDR20291_RS06415	NC_013316.1	1383345	1385456	+	2112	0
CDR20291_RS06420	NC_013316.1	1385722	1386465	+	744	0
CDR20291_RS06425	NC_013316.1	1386623	1387870	+	1248	0
CDR20291_RS06430	NC_013316.1	1387905	1388150	+	246	0
CDR20291_RS06435	NC_013316.1	1388160	1389383	+	1224	0
CDR20291_RS06440	NC_013316.1	1389496	1390230	+	735	0
CDR20291_RS06445	NC_013316.1	1390353	1392764	+	2412	2
CDR20291_RS06450	NC_013316.1	1392767	1393825	+	1059	0
CDR20291_RS06455	NC_013316.1	1393819	1395153	+	1335	0
CDR20291_RS06460	NC_013316.1	1395140	1395682	+	543	0
CDR20291_RS06465	NC_013316.1	1395970	1397016	+	1047	0
CDR20291_RS06470	NC_013316.1	1397192	1398733	+	1542	0
CDR20291_RS06475	NC_013316.1	1399368	1401149	+	1782	0
CDR20291_RS06480	NC_013316.1	1401231	1401761	-	531	0
CDR20291_RS06485	NC_013316.1	1401801	1402625	-	825	0
CDR20291_RS06490	NC_013316.1	1402882	1403790	+	909	0
CDR20291_RS06495	NC_013316.1	1403934	1405379	+	1446	0
CDR20291_RS06500	NC_013316.1	1405690	1406142	+	453	0
CDR20291_RS06505	NC_013316.1	1406555	1408132	+	1578	0
CDR20291_RS06510	NC_013316.1	1408291	1409043	+	753	0
CDR20291_RS06515	NC_013316.1	1409176	1410522	+	1347	0
CDR20291_RS06520	NC_013316.1	1410634	1411830	-	1197	0
CDR20291_RS06525	NC_013316.1	1412215	1413165	+	951	0
CDR20291_RS06530	NC_013316.1	1413326	1414078	+	753	0
CDR20291_RS06535	NC_013316.1	1414170	1414946	-	777	0
CDR20291_RS06540	NC_013316.1	1415261	1417159	+	1899	0
CDR20291_RS06545	NC_013316.1	1417287	1418408	-	1122	0
CDR20291_RS06550	NC_013316.1	1418607	1418939	+	333	0
CDR20291_RS06555	NC_013316.1	1418926	1419984	+	1059	0
CDR20291_RS06560	NC_013316.1	1419977	1421047	+	1071	0
CDR20291_RS06565	NC_013316.1	1421149	1421685	+	537	0
CDR20291_RS06570	NC_013316.1	1421802	1422509	+	708	0
CDR20291_RS06575	NC_013316.1	1422511	1423227	+	717	0
CDR20291_RS06580	NC_013316.1	1423229	1423987	+	759	0
CDR20291_RS06585	NC_013316.1	1424131	1425519	+	1389	0
CDR20291_RS06590	NC_013316.1	1425595	1426416	-	822	0
CDR20291_RS06595	NC_013316.1	1426667	1427821	+	1155	0
CDR20291_RS06600	NC_013316.1	1428004	1428204	+	201	12
CDR20291_RS06605	NC_013316.1	1428625	1429053	+	429	0
CDR20291_RS06610	NC_013316.1	1429196	1429951	-	756	0
CDR20291_RS06615	NC_013316.1	1430652	1431158	-	507	0
CDR20291_RS06620	NC_013316.1	1431240	1431560	-	321	0
CDR20291_RS06625	NC_013316.1	1431729	1431926	+	198	0
CDR20291_RS06630	NC_013316.1	1432031	1432471	+	441	0
CDR20291_RS06635	NC_013316.1	1432720	1433163	+	444	0
CDR20291_RS06640	NC_013316.1	1433168	1434232	+	1065	0
CDR20291_RS06645	NC_013316.1	1434246	1434674	+	429	0
CDR20291_RS06650	NC_013316.1	1434788	1435234	+	447	0
CDR20291_RS06655	NC_013316.1	1435261	1435428	+	168	0
CDR20291_RS06660	NC_013316.1	1435428	1437881	+	2454	0
CDR20291_RS06665	NC_013316.1	1437881	1438303	+	423	0
CDR20291_RS06670	NC_013316.1	1438585	1440114	+	1530	0
CDR20291_RS06675	NC_013316.1	1440130	1440456	+	327	0
CDR20291_RS06680	NC_013316.1	1440456	1440884	+	429	0
CDR20291_RS06685	NC_013316.1	1440877	1441929	+	1053	0
CDR20291_RS06690	NC_013316.1	1441926	1442624	+	699	0
CDR20291_RS06695	NC_013316.1	1442625	1443611	+	987	0
CDR20291_RS06700	NC_013316.1	1443633	1448810	+	5178	0
CDR20291_RS06705	NC_013316.1	1448827	1449180	+	354	0
CDR20291_RS06710	NC_013316.1	1449443	1449703	+	261	0
CDR20291_RS06715	NC_013316.1	1449928	1450383	-	456	0
CDR20291_RS06720	NC_013316.1	1450611	1451030	-	420	0
CDR20291_RS06725	NC_013316.1	1451329	1451538	+	210	0
CDR20291_RS06730	NC_013316.1	1451570	1451779	+	210	0
CDR20291_RS06735	NC_013316.1	1451996	1452394	-	399	0
CDR20291_RS06740	NC_013316.1	1452815	1455316	-	2502	0
CDR20291_RS06745	NC_013316.1	1455321	1455863	-	543	0
CDR20291_RS06750	NC_013316.1	1456106	1457620	+	1515	0
CDR20291_RS06755	NC_013316.1	1457734	1458363	-	630	0
CDR20291_RS06760	NC_013316.1	1458952	1459743	+	792	0
CDR20291_RS06765	NC_013316.1	1459772	1460992	+	1221	0
CDR20291_RS06770	NC_013316.1	1461012	1461707	+	696	0
CDR20291_RS06775	NC_013316.1	1461737	1462723	+	987	0
CDR20291_RS06780	NC_013316.1	1462942	1463508	-	567	0
CDR20291_RS06785	NC_013316.1	1463860	1464927	+	1068	0
CDR20291_RS06790	NC_013316.1	1464946	1466106	+	1161	0
CDR20291_RS06795	NC_013316.1	1466119	1468215	+	2097	0
CDR20291_RS06800	NC_013316.1	1468374	1468718	-	345	0
CDR20291_RS06805	NC_013316.1	1469010	1469900	+	891	0
CDR20291_RS06810	NC_013316.1	1470118	1471404	+	1287	0
CDR20291_RS19475	NC_013316.1	1471493	1471936	-	444	0
CDR20291_RS06820	NC_013316.1	1471960	1472754	-	795	0
CDR20291_RS06825	NC_013316.1	1473320	1473796	-	477	0
CDR20291_RS06830	NC_013316.1	1473897	1475066	-	1170	0
CDR20291_RS06835	NC_013316.1	1475229	1476092	+	864	0
CDR20291_RS06840	NC_013316.1	1476163	1476756	+	594	0
CDR20291_RS06845	NC_013316.1	1477007	1477642	-	636	2
CDR20291_RS06850	NC_013316.1	1477722	1478453	-	732	0
CDR20291_RS06855	NC_013316.1	1478784	1480973	+	2190	0
CDR20291_RS06860	NC_013316.1	1481384	1483312	+	1929	2
CDR20291_RS06865	NC_013316.1	1483299	1483646	+	348	0
CDR20291_RS06870	NC_013316.1	1483888	1485807	-	1920	0
CDR20291_RS06875	NC_013316.1	1485833	1486615	-	783	0
CDR20291_RS06880	NC_013316.1	1486698	1488146	-	1449	0
CDR20291_RS06885	NC_013316.1	1488170	1489069	-	900	0
CDR20291_RS06890	NC_013316.1	1489327	1490583	+	1257	0
CDR20291_RS06895	NC_013316.1	1490653	1491432	+	780	0
CDR20291_RS06900	NC_013316.1	1491536	1492120	-	585	0
CDR20291_RS06905	NC_013316.1	1492320	1493750	-	1431	0
CDR20291_RS06910	NC_013316.1	1494066	1495010	+	945	0
CDR20291_RS06915	NC_013316.1	1495281	1496216	-	936	0
CDR20291_RS06920	NC_013316.1	1496336	1496884	-	549	0
CDR20291_RS06925	NC_013316.1	1497036	1497464	+	429	0
CDR20291_RS06930	NC_013316.1	1497540	1498199	+	660	0
CDR20291_RS06935	NC_013316.1	1498317	1499672	-	1356	0
CDR20291_RS19135	NC_013316.1	1500414	1500773	-	360	0
CDR20291_RS06945	NC_013316.1	1500803	1501159	+	357	0
CDR20291_RS06950	NC_013316.1	1502768	1504501	-	1734	0
CDR20291_RS06955	NC_013316.1	1504741	1505586	-	846	0
CDR20291_RS06960	NC_013316.1	1505617	1507851	-	2235	0
CDR20291_RS06965	NC_013316.1	1508621	1509430	+	810	0
CDR20291_RS06970	NC_013316.1	1509575	1509814	+	240	0
CDR20291_RS06975	NC_013316.1	1510002	1510178	-	177	0
CDR20291_RS06980	NC_013316.1	1510683	1511357	-	675	0
CDR20291_RS06985	NC_013316.1	1511577	1512131	-	555	0
CDR20291_RS06990	NC_013316.1	1512209	1512574	-	366	0
CDR20291_RS19275	NC_013316.1	1512805	1512939	+	135	0
CDR20291_RS06995	NC_013316.1	1513039	1513824	+	786	0
CDR20291_RS07000	NC_013316.1	1514195	1515379	-	1185	0
CDR20291_RS07005	NC_013316.1	1515476	1516240	-	765	0
CDR20291_RS07010	NC_013316.1	1516429	1517253	-	825	0
